nome jogador,url_foto
"",
Abel Hernández,https://img.a.transfermarkt.technology/portrait/header/76608-1623764106.jpg?lm=1
Abner Vinícius,https://img.a.transfermarkt.technology/portrait/header/646402-1727464001.jpg?lm=1
Abuda,https://img.a.transfermarkt.technology/portrait/header/s_228206_978_2012_2.jpg?lm=1
Adalberto dos Santos Rodrigues,""
Ademilson,""
Ademir,https://img.a.transfermarkt.technology/portrait/header/544259-1606987987.jpg?lm=1
Aderbar dos Santos Neto,""
Aderlan Santos,""
Aderlan Silva,""
Adílson Warken,""
Adniellyson da Silva Oliveira,https://img.a.transfermarkt.technology/portrait/header/373301-1738846012.jpg?lm=1
Adrián Emmanuel Martínez,""
Adriano Correia Claro,https://img.a.transfermarkt.technology/portrait/header/34495-1538046358.JPG?lm=1
Adriano Pagode,""
Adriel,""
Adryelson,https://img.a.transfermarkt.technology/portrait/header/373433-1733188388.jpg?lm=1
Adson,https://img.a.transfermarkt.technology/portrait/header/868891-1704213480.jpg?lm=1
Adyson,""
Agenor,https://img.a.transfermarkt.technology/portrait/header/s_74584_6600_2012_1.jpg?lm=1
Agustín Allione,""
Agustín Canobbio,https://img.a.transfermarkt.technology/portrait/header/457533-1713630231.jpg?lm=1
Agustín Doffo,https://img.a.transfermarkt.technology/portrait/header/374858-1723992794.jpg?lm=1
Agustín Rossi,https://img.a.transfermarkt.technology/portrait/header/352324-1633537886.JPG?lm=1
Aílton,""
Airton,""
Airton Ribeiro Santos,https://img.a.transfermarkt.technology/portrait/header/72861-1620117013.jpg?lm=1
Alan Cardoso de Andrade,https://img.a.transfermarkt.technology/portrait/header/323869-1683568094.jpg?lm=1
Alan Carvalho,https://img.a.transfermarkt.technology/portrait/header/73460-1406894047.jpg?lm=1
Alan Empereur,https://img.a.transfermarkt.technology/portrait/header/169179-1567668905.jpg?lm=1
Alan Franco,https://img.a.transfermarkt.technology/portrait/header/503343-1645994651.JPG?lm=1
Alan Franco Palma,https://img.a.transfermarkt.technology/portrait/header/400960-1719230549.jpg?lm=1
Alan Henrique Costa,""
Alan Kardec,https://img.a.transfermarkt.technology/portrait/header/53922-1662402534.jpg?lm=1
Alan Patrick,https://img.a.transfermarkt.technology/portrait/header/104505-1641992716.png?lm=1
Alan Ruiz,""
Alan Ruschel,https://img.a.transfermarkt.technology/portrait/header/75080-1623674737.jpg?lm=1
Alan Santos da Silva,https://img.a.transfermarkt.technology/portrait/header/113336-1663010620.jpg?lm=1
Alan Steven Franco Palma,""
Aldemir Ferreira,""
