atleta,clube,url_foto
Abel Hernández,Fluminense,https://img.a.transfermarkt.technology/portrait/header/76608-1623764106.jpg?lm=1
Abel Hernández,Internacional,https://img.a.transfermarkt.technology/portrait/header/76608-1623764106.jpg?lm=1
Abner Vinícius,Athletico-PR,https://img.a.transfermarkt.technology/portrait/header/646402-1727464001.jpg?lm=1
Abuda,Chapecoense,https://img.a.transfermarkt.technology/portrait/header/s_228206_978_2012_2.jpg?lm=1
Abuda,Ponte Preta,https://img.a.transfermarkt.technology/portrait/header/s_228206_978_2012_2.jpg?lm=1
Adalberto dos Santos Rodrigues,America-MG,
Adalberto dos Santos Rodrigues,Fortaleza,
Ademilson,Sao Paulo,
Ademir,America-MG,https://img.a.transfermarkt.technology/portrait/header/544259-1606987987.jpg?lm=1
Ademir,Atletico-MG,https://img.a.transfermarkt.technology/portrait/header/544259-1606987987.jpg?lm=1
Ademir,Bahia,https://img.a.transfermarkt.technology/portrait/header/544259-1606987987.jpg?lm=1
Aderbar dos Santos Neto,Athletico-PR,
Aderlan Santos,Cruzeiro,
Aderlan Santos,Internacional,
Aderlan Santos,Vitoria,
Aderlan Silva,America-MG,
Aderlan Silva,Bragantino,
Adílson Warken,Atletico-MG,
Adniellyson da Silva Oliveira,Atletico-GO,https://img.a.transfermarkt.technology/portrait/header/373301-1738846012.jpg?lm=1
Adniellyson da Silva Oliveira,Internacional,https://img.a.transfermarkt.technology/portrait/header/373301-1738846012.jpg?lm=1
Adrián Emmanuel Martínez,Coritiba,
Adriano Correia Claro,Athletico-PR,https://img.a.transfermarkt.technology/portrait/header/34495-1538046358.JPG?lm=1
Adriano Pagode,Avai,
Adriano Pagode,Vitoria,
Adriel,Gremio,
Adryelson,Athletico-PR,
Adryelson,Botafogo-RJ,https://img.a.transfermarkt.technology/portrait/header/373433-1733188388.jpg?lm=1
Adryelson,Internacional,
Adryelson,Sport,https://img.a.transfermarkt.technology/portrait/header/373433-1733188388.jpg?lm=1
Adson,Corinthians,https://img.a.transfermarkt.technology/portrait/header/868891-1704213480.jpg?lm=1
Adyson,America-MG,
Agenor,Fluminense,https://img.a.transfermarkt.technology/portrait/header/s_74584_6600_2012_1.jpg?lm=1
